 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: SpreadsheetLight, Version: 3.4.9
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: System.IdentityModel.Tokens.Jwt, Version: 5.3.0
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: System.Runtime.InteropServices.RuntimeInformation, Version: 4.3.0
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: System.ValueTuple, Version: 4.4.0
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: TimeZoneConverter, Version: 2.3.0
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: TimeZoneNames, Version: 3.3.0
 Project: Custom.Gravitate.JSON,Package: AK.System.Linq.Dynamic, Version: 1.1.20.1
 Project: Custom.Gravitate.JSON,Package: AngleSharp, Version: 0.9.11
 Project: Custom.Gravitate.JSON,Package: BouncyCastle, Version: 1.8.1
 Project: Custom.Gravitate.JSON,Package: Box.V2, Version: 3.9.0
 Project: Custom.Gravitate.JSON,Package: Castle.Core, Version: 4.2.1
 Project: Custom.Gravitate.JSON,Package: Castle.WcfIntegrationFacility, Version: 4.1.0
 Project: Custom.Gravitate.JSON,Package: Castle.Windsor, Version: 4.1.0
 Project: Custom.Gravitate.JSON,Package: Castle.Windsor.Lifestyles, Version: 0.4.0
 Project: Custom.Gravitate.JSON,Package: Common.Logging, Version: 3.4.1
 Project: Custom.Gravitate.JSON,Package: Common.Logging.Core, Version: 3.4.1
 Project: Custom.Gravitate.JSON,Package: Flee, Version: 1.2.2
 Project: Custom.Gravitate.JSON,Package: FluentValidationNA, Version: 1.2.16
 Project: Custom.Gravitate.JSON,Package: GenericParser, Version: 1.1.6
 Project: Custom.Gravitate.JSON,Package: Gravitate.Core, Version: 5.8.2
 Project: Custom.Gravitate.JSON,Package: HtmlSanitizer, Version: 4.0.217
 Project: Custom.Gravitate.JSON,Package: iTextSharp, Version: 5.5.12
 Project: Custom.Gravitate.JSON,Package: log4net, Version: 2.0.8
 Project: Custom.Gravitate.JSON,Package: Microsoft.CSharp, Version: 4.4.1
 Project: Custom.Gravitate.JSON,Package: Microsoft.IdentityModel, Version: 6.1.7600.16394
 Project: Custom.Gravitate.JSON,Package: Microsoft.IdentityModel.JsonWebTokens, Version: 5.3.0
 Project: Custom.Gravitate.JSON,Package: Microsoft.IdentityModel.Logging, Version: 5.3.0
 Project: Custom.Gravitate.JSON,Package: Microsoft.IdentityModel.Tokens, Version: 5.3.0
 Project: Custom.Gravitate.JSON,Package: morelinq, Version: 3.1.1
 Project: Custom.Gravitate.JSON,Package: Newtonsoft.Json, Version: 12.0.3
 Project: Custom.Gravitate.JSON,Package: RestSharp, Version: 106.11.7
 Project: Custom.Gravitate.JSON,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Custom.Gravitate.JSON,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Custom.Gravitate.JSON,Package: SpreadsheetLight, Version: 3.4.9
 Project: Custom.Gravitate.JSON,Package: System.IdentityModel.Tokens.Jwt, Version: 5.3.0
 Project: Custom.Gravitate.JSON,Package: System.Runtime.InteropServices.RuntimeInformation, Version: 4.3.0
 Project: Custom.Gravitate.JSON,Package: System.ValueTuple, Version: 4.4.0
 Project: Custom.Gravitate.JSON,Package: TimeZoneConverter, Version: 2.3.0
 Project: Custom.Gravitate.JSON,Package: TimeZoneNames, Version: 3.3.0
 Project: Custom.Gravitate.Library,Package: AK.System.Linq.Dynamic, Version: 1.1.20.1
 Project: Custom.Gravitate.Library,Package: AngleSharp, Version: 0.9.11
 Project: Custom.Gravitate.Library,Package: BouncyCastle, Version: 1.8.1
 Project: Custom.Gravitate.Library,Package: Box.V2, Version: 3.9.0
 Project: Custom.Gravitate.Library,Package: Castle.Core, Version: 4.2.1
 Project: Custom.Gravitate.Library,Package: Castle.WcfIntegrationFacility, Version: 4.1.0
 Project: Custom.Gravitate.Library,Package: Castle.Windsor, Version: 4.1.0
 Project: Custom.Gravitate.Library,Package: Castle.Windsor.Lifestyles, Version: 0.4.0
 Project: Custom.Gravitate.Library,Package: Common.Logging, Version: 3.4.1
 Project: Custom.Gravitate.Library,Package: Common.Logging.Core, Version: 3.4.1
 Project: Custom.Gravitate.Library,Package: Flee, Version: 1.2.2
 Project: Custom.Gravitate.Library,Package: FluentValidationNA, Version: 1.2.16
 Project: Custom.Gravitate.Library,Package: GenericParser, Version: 1.1.6
 Project: Custom.Gravitate.Library,Package: Gravitate.Core, Version: 5.8.2
 Project: Custom.Gravitate.Library,Package: HtmlSanitizer, Version: 4.0.217
 Project: Custom.Gravitate.Library,Package: iTextSharp, Version: 5.5.12
 Project: Custom.Gravitate.Library,Package: log4net, Version: 2.0.8
 Project: Custom.Gravitate.Library,Package: Microsoft.CSharp, Version: 4.4.1
 Project: Custom.Gravitate.Library,Package: Microsoft.IdentityModel, Version: 6.1.7600.16394
 Project: Custom.Gravitate.Library,Package: Microsoft.IdentityModel.JsonWebTokens, Version: 5.3.0
 Project: Custom.Gravitate.Library,Package: Microsoft.IdentityModel.Logging, Version: 5.3.0
 Project: Custom.Gravitate.Library,Package: Microsoft.IdentityModel.Tokens, Version: 5.3.0
 Project: Custom.Gravitate.Library,Package: morelinq, Version: 3.1.1
 Project: Custom.Gravitate.Library,Package: Newtonsoft.Json, Version: 12.0.3
 Project: Custom.Gravitate.Library,Package: RestSharp, Version: 106.11.7
 Project: Custom.Gravitate.Library,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Custom.Gravitate.Library,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Custom.Gravitate.Library,Package: SpreadsheetLight, Version: 3.4.9
 Project: Custom.Gravitate.Library,Package: System.IdentityModel.Tokens.Jwt, Version: 5.3.0
 Project: Custom.Gravitate.Library,Package: System.Runtime.InteropServices.RuntimeInformation, Version: 4.3.0
 Project: Custom.Gravitate.Library,Package: System.ValueTuple, Version: 4.4.0
 Project: Custom.Gravitate.Library,Package: TimeZoneConverter, Version: 2.3.0
